Control_ID,Category,Framework,Requirement,Description,Automation_Status,Tool,Frequency,Evidence_Path,Last_Verified,Owner
SC-004,System Communications,SOX,SC-13,Cryptographic protection,Automated,AES-GCM,Real-time,src/trust.rs,2025-11-27,Security Team
SC-005,System Communications,HIPAA,§164.312(e)(1),Transmission security,Automated,TLS,Real-time,HTTPS Config,2025-11-27,Platform Team
SC-006,System Communications,GDPR,Art. 32,Encryption of personal data,Automated,Field Encryption,Real-time,src/secrets/kms.rs,2025-11-27,Security Team
SI-001,System Integrity,SOX,SI-2,Flaw remediation,Automated,Dependabot,Weekly,GitHub Dependabot,2025-11-27,DevOps Team
SI-002,System Integrity,SOX,SI-3,Malicious code protection,Automated,Container Scan,Per-build,Trivy,2025-11-27,Security Team
SI-003,System Integrity,SOX,SI-4,System monitoring,Automated,Prometheus,Real-time,src/metrics.rs,2025-11-27,SRE Team
SI-004,System Integrity,SOX,SI-5,Security alerts and advisories,Automated,GitHub Advisory,Real-time,cargo audit,2025-11-27,Security Team
SI-005,System Integrity,SOX,SI-7,Software integrity verification,Automated,Checksums,Per-build,Build Pipeline,2025-11-27,DevOps Team
SI-006,System Integrity,HIPAA,§164.308(a)(5),Security awareness training,Manual,Training,Annual,Security Training Records,2025-11-27,HR
CP-001,Contingency Planning,SOX,CP-2,Contingency plan,Manual,Documentation,Annual,OPERATOR_RUNBOOK_v0.9.0.md,2025-11-27,SRE Team
CP-002,Contingency Planning,SOX,CP-9,System backup,Automated,Velero,Daily,Backup Config,2025-11-27,Platform Team
CP-003,Contingency Planning,SOX,CP-10,System recovery,Semi-Automated,Disaster Recovery,Per-test,DR Runbook,2025-11-27,SRE Team
CP-004,Contingency Planning,HIPAA,§164.308(a)(7),Contingency plan for PHI,Manual,DR Plan,Annual,DR Documentation,2025-11-27,Compliance Team
RA-001,Risk Assessment,SOX,RA-3,Risk assessment,Semi-Automated,AI Risk Engine,Per-deploy,05-ai-risk-engine/risk_engine.ts,2025-11-27,Security Team
RA-002,Risk Assessment,SOX,RA-5,Vulnerability scanning,Automated,Trivy/Gitleaks,Per-build,.github/workflows/security-scan.yml,2025-11-27,Security Team
RA-003,Risk Assessment,GDPR,Art. 35,Data protection impact assessment,Manual,DPIA Template,Per-feature,DPIA Records,2025-11-27,Privacy Team
PM-001,Program Management,SOX,PM-9,Risk management strategy,Manual,Documentation,Annual,SECURITY_THREAT_MODEL.md,2025-11-27,Security Team
PM-002,Program Management,GDPR,Art. 37,Data protection officer,Manual,Appointment,N/A,DPO Contact,2025-11-27,Legal
PM-003,Program Management,HIPAA,§164.308(a)(2),Assigned security responsibility,Manual,Role Assignment,N/A,Security Team Charter,2025-11-27,Management
